ping,pong
2016-12-26 15:01:14.974891,2016-12-26 15:03:59.002984
2016-12-26 15:05:47.114435,2016-12-26 15:08:05.125126
2016-12-26 15:09:36.232084,2016-12-26 15:12:44.220321
2016-12-26 15:11:45.981910,2016-12-26 15:14:47.061441
2016-12-26 15:17:21.199046,2016-12-26 15:19:05.862667
2016-12-26 15:38:29.791214,2016-12-26 15:40:29.987760
2016-12-26 16:11:49.353870,2016-12-26 16:12:32.558205
2016-12-26 17:04:44.236853,2016-12-26 17:07:40.655220
2016-12-26 17:09:58.685854,2016-12-26 17:12:36.367916
2016-12-26 17:48:47.964989,2016-12-26 17:50:36.044925
2016-12-26 19:03:34.688663,2016-12-26 19:04:20.985825
2016-12-26 19:19:51.968434,2016-12-26 19:21:48.279619
2016-12-26 20:57:15.451736,2016-12-26 21:00:24.144406
2016-12-26 21:37:37.989750,2016-12-26 21:40:19.133826
2016-12-26 21:40:37.299010,2016-12-26 21:42:45.990467
2016-12-26 21:47:03.365786,2016-12-26 21:50:35.296232
2016-12-26 21:51:37.182610,2016-12-26 21:54:09.538808
2016-12-27 07:49:23.529425,2016-12-27 07:50:42.089863
2016-12-27 08:34:42.707413,2016-12-27 08:37:40.928919
2016-12-27 09:16:08.283611,2016-12-27 09:21:48.433249
2016-12-27 09:27:06.526624,2016-12-27 09:31:12.229583
2016-12-27 09:38:05.743380,2016-12-27 09:41:45.201819
2016-12-27 09:52:57.732883,2016-12-27 09:55:54.828095
2016-12-27 11:00:00.000000,2016-12-27 11:01:00.000000
2016-12-27 12:00:00.000000,2016-12-27 12:01:00.000000
2016-12-27 13:14:30.097812,2016-12-27 13:14:38.939340
2016-12-27 13:16:19.893581,2016-12-27 13:16:46.077695
2016-12-27 13:56:23.234115,2016-12-27 13:56:27.658223
2017-12-26 18:53:13.041068,2017-12-26 19:27:48.578071
2017-12-26 19:07:26.715120,2017-12-26 19:40:20.145167
2017-12-26 19:16:56.894346,2017-12-26 19:48:32.799457
2017-12-26 19:41:46.648057,2017-12-26 20:20:18.806995
2017-12-26 20:16:54.012135,2017-12-26 20:41:44.448933
2017-12-26 20:28:12.871837,2017-12-26 20:51:22.874312
2017-12-26 20:36:58.358190,2017-12-26 21:00:04.157361
2017-12-26 20:49:26.735318,2017-12-26 21:11:41.460216
2017-12-26 21:16:23.767099,2017-12-26 21:32:31.384155
2017-12-26 21:45:46.004769,2017-12-26 22:05:56.837877
2017-12-26 21:59:27.761556,2017-12-26 22:16:25.362542
2017-12-26 22:16:31.049647,2017-12-26 22:28:44.364428
2017-12-26 22:32:05.874126,2017-12-26 22:42:55.974877
2017-12-26 22:42:36.207209,2017-12-26 22:50:00.437366
2017-12-27 08:24:18.527595,2017-12-27 08:26:10.295631
2017-12-27 08:32:17.429668,2017-12-27 08:33:55.280620
2017-12-27 08:39:46.405193,2017-12-27 08:41:52.099725
2017-12-27 08:44:56.260632,2017-12-27 08:49:45.712407
2017-12-27 08:55:08.677078,2017-12-27 09:00:13.473274
2017-12-27 09:10:17.984267,2017-12-27 09:22:41.882353
2017-12-27 09:16:33.155579,2017-12-27 09:27:35.686976
2017-12-27 09:34:33.519499,2017-12-27 09:53:39.064820
2017-12-27 09:39:05.089382,2017-12-27 10:02:28.528180
2017-12-27 10:00:41.101563,2017-12-27 10:41:52.224482
2017-12-27 10:05:32.193362,2017-12-27 10:43:10.605566
2017-12-27 10:07:57.144794,2017-12-27 10:29:33.935941
2017-12-27 10:08:00.251235,2017-12-27 11:01:00.229271
2017-12-27 10:08:05.339573,2017-12-27 10:58:07.613769
2017-12-27 10:16:17.909350,2017-12-27 11:04:47.019393
2017-12-27 10:16:20.412702,2017-12-27 10:39:39.284995
2017-12-27 10:16:22.864635,2017-12-27 10:44:14.961623
2017-12-27 10:38:49.718595,2017-12-27 10:57:03.065662
2017-12-27 10:38:52.271710,2017-12-27 11:02:56.368778
2017-12-27 11:24:13.144784,2017-12-27 11:28:42.798806
2017-12-27 11:51:20.542770,2017-12-27 11:53:37.085414
2017-12-27 12:07:14.572939,2017-12-27 12:09:50.672250
2017-12-27 13:10:13.223812,2017-12-27 13:14:46.427105
2017-12-27 13:35:43.168530,2017-12-27 13:37:07.330928
2017-12-27 14:15:37.904326,2017-12-27 14:17:48.584967
2017-12-27 14:37:10.441133,2017-12-27 14:41:28.575509
2017-12-27 15:24:17.034209,2017-12-27 15:31:10.706396
2017-12-27 15:36:59.583468,2017-12-27 15:44:35.537540
2017-12-27 15:45:31.379915,2017-12-27 15:53:51.985763
2017-12-27 16:23:09.016931,2017-12-27 16:26:35.065164
2017-12-27 16:40:06.802144,2017-12-27 16:44:18.366497
2017-12-27 17:00:14.036596,2017-12-27 17:09:55.117227
2017-12-27 18:00:14.036596,2017-12-27 18:02:00.117227
2017-12-27 19:00:00.000000,2017-12-27 19:01:00.000000
2017-12-27 20:00:00.000000,2017-12-27 20:01:00.000000
2017-12-27 22:33:51.296404,2017-12-27 22:34:12.740695
2017-12-27 22:33:54.863766,2017-12-27 22:34:16.232300
2017-12-27 22:33:58.048218,2017-12-27 22:34:18.506052
2017-12-27 22:34:47.490904,2017-12-27 22:34:51.942975
2017-12-27 22:34:51.350981,2017-12-27 22:34:53.769283
2017-12-27 22:34:55.111231,2017-12-27 22:34:59.116765
2017-12-27 22:34:59.271794,2017-12-27 22:35:04.302756
2017-12-27 22:35:02.619915,2017-12-27 22:35:07.905825
2018-12-26T16:40:12,2018-12-26T16:42:25
2018-12-26T16:43:32,2018-12-26T16:44:14
2018-12-26T16:47:28,2018-12-26T16:50:09
2018-12-26T16:54:42,2018-12-26T16:55:38
2018-12-26T17:02:34,2018-12-26T17:04:28
2018-12-26T17:46:45,2018-12-26T17:47:31
2018-12-26T17:49:13,2018-12-26T17:49:49
2018-12-26T18:14:57,2018-12-26T18:17:03
2018-12-26T18:26:36,2018-12-26T18:27:44
2018-12-26T19:00:00,2018-12-26T19:01:15
2018-12-26T19:05:15,2018-12-26T19:06:33
2018-12-26T19:31:17,2018-12-26T19:33:27
2018-12-26T19:45:13,2018-12-26T19:46:39
2018-12-26T19:57:26,2018-12-26T19:59:19
2018-12-26T20:00:38,2018-12-26T20:03:03
2018-12-26T20:18:00,2018-12-26T20:21:13
2018-12-26T20:21:35,2018-12-26T20:25:12
2018-12-26T20:25:52,2018-12-26T20:29:07
2018-12-26T20:29:42,2018-12-26T20:33:59
2018-12-26T20:34:09,2018-12-26T20:37:55
2018-12-26T20:40:29,2018-12-26T20:45:23
2018-12-26T20:44:38,2018-12-26T20:47:51
2018-12-26T20:48:49,2018-12-26T20:53:53
2018-12-26T20:54:12,2018-12-26T20:56:26
2018-12-26T21:14:30,2018-12-26T21:16:52
2018-12-26T21:39:27,2018-12-26T21:41:23
2018-12-26T21:46:45,2018-12-26T21:48:16
2018-12-26T22:01:09,2018-12-26T22:05:08
2018-12-26T22:15:33,2018-12-26T22:24:28
2018-12-26T22:27:12,2018-12-26T22:30:21
2018-12-26T22:30:58,2018-12-26T22:34:20
2018-12-26T22:52:13,2018-12-26T22:55:38
2018-12-26T23:40:14,2018-12-26T23:41:44
2018-12-26T23:51:35,2018-12-26T23:51:46
2018-12-27T07:54:04,2018-12-27T07:55:09
2018-12-27T09:01:51,2018-12-27T09:02:58
2018-12-27T09:17:40,2018-12-27T09:18:37
2018-12-27T09:28:47,2018-12-27T09:29:39
2018-12-27T09:37:20,2018-12-27T09:38:52
2018-12-27T09:40:53,2018-12-27T09:46:35
2018-12-27T09:45:57,2018-12-27T09:48:09
2018-12-27T09:48:36,2018-12-27T09:49:11
